game_number,game_name,game_file,target_vertices,success,solve_time_seconds,winning_region_t0,winning_region_t10000,error_message
861,game_0861_complex_10,/home/pete/ontime/generated_games/game_0861_complex_10.tg,"s3,s5,s9",True,0.106,"s4,s6,s5,s3","s3,s9,s5",
862,game_0862_complex_11,/home/pete/ontime/generated_games/game_0862_complex_11.tg,"s1,s2,s4,s5,s7,s8,s9",True,0.106,s9,"s5,s9,s7,s1,s8,s4,s2",
863,game_0863_complex_6,/home/pete/ontime/generated_games/game_0863_complex_6.tg,s0,True,0.106,"s5,s3,s1,s0",s0,
864,game_0864_complex_5,/home/pete/ontime/generated_games/game_0864_complex_5.tg,s2,True,0.101,s1,s2,
865,game_0865_complex_12,/home/pete/ontime/generated_games/game_0865_complex_12.tg,"s0,s4,s5,s6,s8",True,0.109,"s9,s6,s5","s0,s8,s6,s5,s4",
866,game_0866_complex_14,/home/pete/ontime/generated_games/game_0866_complex_14.tg,"s0,s6,s12,s13",True,0.116,"s6,s12,s2,s5","s12,s13,s6,s0",
867,game_0867_complex_6,/home/pete/ontime/generated_games/game_0867_complex_6.tg,s1,True,0.113,"s2,s5",s1,
868,game_0868_complex_13,/home/pete/ontime/generated_games/game_0868_complex_13.tg,"s1,s3,s4,s8,s10,s11",True,0.127,"s11,s3,s4,s7,s8,s10,s0,s5,s1","s1,s3,s11,s8,s4,s10",
869,game_0869_complex_12,/home/pete/ontime/generated_games/game_0869_complex_12.tg,"s0,s3,s4,s7",True,0.123,"s6,s7","s3,s4,s0,s7",
870,game_0870_complex_5,/home/pete/ontime/generated_games/game_0870_complex_5.tg,"s1,s3",True,0.100,,"s1,s3",
871,game_0871_complex_5,/home/pete/ontime/generated_games/game_0871_complex_5.tg,s1,True,0.099,s0,s1,
872,game_0872_complex_11,/home/pete/ontime/generated_games/game_0872_complex_11.tg,"s0,s5,s6,s7,s8,s10",True,0.106,"s8,s1,s4,s7,s9,s3,s0,s6,s5,s10","s7,s6,s10,s8,s0,s5",
873,game_0873_complex_11,/home/pete/ontime/generated_games/game_0873_complex_11.tg,"s3,s8,s9,s10",True,0.108,"s5,s3,s10","s10,s9,s8,s3",
874,game_0874_complex_15,/home/pete/ontime/generated_games/game_0874_complex_15.tg,"s9,s11,s13,s14",True,0.112,"s10,s11,s5,s9,s13,s6,s3,s8,s0,s4","s9,s13,s14,s11",
875,game_0875_complex_8,/home/pete/ontime/generated_games/game_0875_complex_8.tg,"s3,s5,s6",True,0.117,"s6,s7","s6,s5,s3",
876,game_0876_complex_12,/home/pete/ontime/generated_games/game_0876_complex_12.tg,"s1,s10",True,0.115,"s1,s7,s2,s3,s8,s10,s11","s10,s1",
877,game_0877_complex_12,/home/pete/ontime/generated_games/game_0877_complex_12.tg,"s1,s2,s3,s6,s7,s10",True,0.108,"s11,s0,s7,s6,s5,s2","s3,s6,s1,s7,s2,s10",
878,game_0878_complex_12,/home/pete/ontime/generated_games/game_0878_complex_12.tg,"s1,s7,s8,s9,s11",True,0.112,"s3,s8,s2,s11,s6,s4,s0,s7,s1,s10,s9","s11,s1,s7,s9,s8",
879,game_0879_complex_10,/home/pete/ontime/generated_games/game_0879_complex_10.tg,"s4,s7",True,0.104,"s7,s0,s9","s7,s4",
880,game_0880_complex_11,/home/pete/ontime/generated_games/game_0880_complex_11.tg,"s5,s9",True,0.105,"s7,s2","s5,s9",
881,game_0881_complex_13,/home/pete/ontime/generated_games/game_0881_complex_13.tg,"s1,s2,s3,s9,s10,s11,s12",True,0.111,,"s11,s3,s1,s12,s9,s2,s10",
882,game_0882_complex_4,/home/pete/ontime/generated_games/game_0882_complex_4.tg,s2,True,0.098,"s0,s2",s2,
883,game_0883_complex_11,/home/pete/ontime/generated_games/game_0883_complex_11.tg,"s1,s3,s5,s7",True,0.106,s6,"s7,s1,s3,s5",
884,game_0884_complex_12,/home/pete/ontime/generated_games/game_0884_complex_12.tg,"s2,s10",True,0.108,"s7,s6","s10,s2",
885,game_0885_complex_14,/home/pete/ontime/generated_games/game_0885_complex_14.tg,"s0,s2,s3,s10",True,0.111,"s12,s11,s5,s7,s0,s1,s10,s3","s3,s10,s2,s0",
886,game_0886_complex_5,/home/pete/ontime/generated_games/game_0886_complex_5.tg,"s3,s4",True,0.101,s0,"s3,s4",
887,game_0887_complex_5,/home/pete/ontime/generated_games/game_0887_complex_5.tg,,False,0.000,,,No target vertices
888,game_0888_complex_5,/home/pete/ontime/generated_games/game_0888_complex_5.tg,"s0,s4",True,0.100,"s4,s2,s3","s4,s0",
889,game_0889_complex_15,/home/pete/ontime/generated_games/game_0889_complex_15.tg,"s0,s4,s8,s14",True,0.116,"s3,s0,s7,s8,s9,s6,s13,s12,s1,s4,s2,s14","s4,s0,s14,s8",
890,game_0890_complex_7,/home/pete/ontime/generated_games/game_0890_complex_7.tg,"s0,s2,s5",True,0.103,s1,"s2,s5,s0",
891,game_0891_complex_10,/home/pete/ontime/generated_games/game_0891_complex_10.tg,"s0,s2,s4,s8",True,0.090,s6,"s8,s4,s0,s2",
892,game_0892_complex_14,/home/pete/ontime/generated_games/game_0892_complex_14.tg,"s4,s5,s6,s8,s11,s13",True,0.115,s2,"s6,s11,s8,s13,s4,s5",
893,game_0893_complex_6,/home/pete/ontime/generated_games/game_0893_complex_6.tg,"s1,s3,s5",True,0.101,,"s1,s5,s3",
894,game_0894_complex_14,/home/pete/ontime/generated_games/game_0894_complex_14.tg,"s0,s1,s4,s5,s7,s11,s13",True,0.111,"s7,s1,s10,s13,s4,s11","s4,s5,s1,s7,s11,s13,s0",
895,game_0895_complex_7,/home/pete/ontime/generated_games/game_0895_complex_7.tg,s2,True,0.102,"s1,s2,s0,s5,s4,s6,s3",s2,
896,game_0896_complex_6,/home/pete/ontime/generated_games/game_0896_complex_6.tg,"s3,s4,s5",True,0.100,"s2,s1,s0,s5","s4,s5,s3",
897,game_0897_complex_6,/home/pete/ontime/generated_games/game_0897_complex_6.tg,"s0,s1,s3",True,0.101,,"s0,s1,s3",
898,game_0898_complex_4,/home/pete/ontime/generated_games/game_0898_complex_4.tg,s0,True,0.099,s2,s0,
